ID OSM,Nome cima,Quota cima,Tag altitudine,Valle,Catena,Provincia
1907533219,Monte Aiera,2713,2500+,Valle Gesso,Alpi Marittime,CN
1556743063,Monte Peigrò,2712,2500+,Val Germanasca,Alpi Cozie Sud,TO
5474329936,Monte del Sasso,2712,2500+,Val d'Ossola,Alpi Lepontine,VB
1796366335,Vin Vert,2711,2500+,Val di Susa,Alpi Cozie Nord,TO
5102148216,Punta del Cortese,2711,2500+,Valle non classificata,Gruppo non classificato,VC
6905020319,Pizzo Martello,2711,2500+,Val d'Ossola,Alpi Lepontine,VB
9195765246,Punta Cassafrera,2710,2500+,Val Sangone,Alpi Cozie Nord,TO
3980102936,Punta Pilone,2709,2500+,Val Germanasca,Alpi Cozie Sud,TO
5160540371,Pizzo dei Croselli,2709,2500+,Val d'Ossola,Alpi Lepontine,VB
4584238049,Cornello di Tailly,2708,2500+,Valle Anzasca,Alpi Pennine,VB
5137636012,Corno Talli,2708,2500+,Val d'Ossola,Alpi Lepontine,VB
4017719517,Punta Eco,2707,2500+,Valle Maira,Alpi Cozie Sud,CN
4332040815,Monte Reisasso,2707,2500+,Valle Po,Alpi Cozie Sud,TO
1376698824,Cima Naucetas / Cime des Naucettes,2706,2500+,Valle Gesso,Alpi Marittime,CN
2148011950,Mont Arbancié,2706,2500+,Valle Po,Alpi Cozie Sud,TO
1506093110,Pizzo Montalto,2705,2500+,Val d'Ossola,Alpi Lepontine,VB
4941897496,Gran Pelà,2705,2500+,Val di Susa,Alpi Cozie Nord,TO
4078661289,Rocca Reis,2704,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5120892793,Pala della Gronda,2703,2500+,Valle Cervo,Alpi Biellesi,VC
1803259282,Monte Fraiteve,2702,2500+,Val Chisone,Alpi Cozie Sud,TO
648758458,Monte Soubeyran / Tête de l'Alp,2701,2500+,Valle Maira,Alpi Cozie Sud,CN
1845478626,Punta Cornourin,2701,2500+,Val Chisone,Alpi Cozie Sud,TO
1907533227,Punta Fenestrelle,2701,2500+,Valle Gesso,Alpi Marittime,CN
2428059439,Cima di Pozzuoli,2701,2500+,Val d'Ossola,Alpi Lepontine,VB
4103244933,Monte Saletta,2700,2500+,Valle Stura di Demonte,Alpi Marittime,CN
306982367,Punta Bernoir,2699,2500+,Valle Stura di Demonte,Alpi Marittime,CN
9927015714,Tête Cimon,2699,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1971491069,Pointe des Quatre Sœurs / Punta Quattro Sorelle,2698,2500+,Valle non classificata,Gruppo non classificato,TO
3725028494,Punta Fattiere,2698,2500+,Val di Susa,Alpi Cozie Nord,TO
2431223235,Casses Blanches,2697,2500+,Val di Susa,Alpi Cozie Nord,TO
5414516437,Pizzo del Forno,2696,2500+,Val d'Ossola,Alpi Lepontine,VB
5434263055,Rochers de l'Aigle,2695,2500+,Val di Susa,Alpi Cozie Nord,TO
2951199451,Rocca Verde,2694,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5306033527,Roc della Crava,2694,2500+,Val Chisone,Alpi Cozie Sud,TO
2980436826,Testa Rognosa della Guercia / Tête Rougnouse de la Guercha,2693,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5171383248,Cima di Valtendra,2693,2500+,Val d'Ossola,Alpi Lepontine,VB
798788374,Punta Raboi,2691,2500+,Val Pellice,Alpi Cozie Sud,TO
10771451058,Monte Brancetta,2691,2500+,Valle Maira,Alpi Cozie Sud,CN
1506104894,Bancuraà,2690,2500+,Val d'Ossola,Alpi Lepontine,VB
3752976500,Punta Cruvin,2690,2500+,Val di Susa,Alpi Cozie Nord,TO
4032661571,Punta del Mezzodì,2689,2500+,Val di Susa,Alpi Cozie Nord,TO
5117681249,Corno Cistella,2689,2500+,Val d'Ossola,Alpi Lepontine,VB
5157013588,Martschenspitz,2689,2500+,Val d'Ossola,Alpi Lepontine,VB
8091515270,Truc Bianco,2689,2500+,Valle Po,Alpi Cozie Sud,TO
1333980636,Cima del Lausetto,2686,2500+,Valle Gesso,Alpi Marittime,CN
2431092660,Cima est di Pagarì / Cime Est de Pagari,2686,2500+,Valle Gesso,Alpi Marittime,CN
2985846304,Cima est di Finestra / Cime Est de Fenestre,2686,2500+,Valle Gesso,Alpi Marittime,CN
2194350981,Monte Palancà,2685,2500+,Valle non classificata,Gruppo non classificato,VC
2980434588,Anticima orientale Testa Rognosa della Guercia,2685,2500+,Valle Stura di Demonte,Alpi Marittime,CN
3711980302,Punta Walter,2685,2500+,Val d'Ossola,Alpi Lepontine,VB
12168693031,Dossone di Valle,2684,2500+,Val d'Ossola,Alpi Lepontine,VB
648758457,Aiguille de Barsin,2683,2500+,Valle Maira,Alpi Cozie Sud,CN
5115186366,Punta di Tanzonia,2683,2500+,Val d'Ossola,Alpi Lepontine,VB
5183488197,Testa della Valletta,2682,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2359101332,Rocca di San Bernolfo,2681,2500+,Valle Stura di Demonte,Alpi Marittime,CN
648758946,Punta Tempesta,2679,2500+,Valle Maira,Alpi Cozie Sud,CN
3992049622,Monte Robinet,2679,2500+,Val Sangone,Alpi Cozie Nord,TO
5015904154,Pointe de l'Agnel,2679,2500+,Valle Gesso,Alpi Marittime,CN
5414516436,Pizzo di Pioda,2676,2500+,Val d'Ossola,Alpi Lepontine,VB
1514086380,Cima ovest di Pagarì / Cime de Pagari de Salèse,2675,2500+,Valle Gesso,Alpi Marittime,CN
2448222006,Palone del Badile,2675,2500+,Valle Anzasca,Alpi Pennine,VB
2585366505,Pizzo del Ton,2675,2500+,Val d'Ossola,Alpi Lepontine,VB
3018567022,Crestone Marinelli,2675,2500+,Valle Anzasca,Alpi Pennine,VB
5102148215,Punta del Tillio,2675,2500+,Valle non classificata,Gruppo non classificato,VC
5306386395,Pera Ruia,2675,2500+,Val Chisone,Alpi Cozie Sud,TO
4717265489,Cima di Leccia / Cime de la Lèche,2674,2500+,Valle Gesso,Alpi Marittime,CN
10313767625,Monte Gojassa,2674,2500+,Valle Soana,Alpi Graie,TO
1952535844,Monte Tovo,2673,2500+,Valli di Lanzo,Alpi Graie,TO
2985674203,Cima della Siula,2672,2500+,Valle Gesso,Alpi Marittime,CN
12367721503,La Bruna,2668,2500+,Val Germanasca,Alpi Cozie Sud,TO
2905470095,Cima del Blave,2667,2500+,Valle non classificata,Gruppo non classificato,TO
4017691141,Còbre,2667,2500+,Valle Maira,Alpi Cozie Sud,CN
6004565781,Punta della Valle,2667,2500+,Val d'Ossola,Alpi Lepontine,VB
6048425202,Bric Piatta Soglia,2667,2500+,Val Pellice,Alpi Cozie Sud,TO
6927207747,Punta Salarioli,2667,2500+,Val d'Ossola,Alpi Lepontine,VB
12144282371,Rocca del Chiapous,2667,2500+,Valle Stura di Demonte,Alpi Marittime,CN
3751288257,Grand'Uia,2666,2500+,Val di Susa,Alpi Cozie Nord,TO
6918494150,Pizzo Forato,2666,2500+,Val d'Ossola,Alpi Lepontine,VB
3986145579,Rocca Praboccia,2665,2500+,Valle Maira,Alpi Cozie Sud,CN
5441886235,Becco di Cossarello 2,2665,2500+,Valle non classificata,Gruppo non classificato,VC
921189652,Punta Rasciassa,2664,2500+,Valle Po,Alpi Cozie Sud,TO
9707882769,Pointe d'Isatier,2664,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1848401748,Punta Pisset,2663,2500+,Val Germanasca,Alpi Cozie Sud,TO
2641588575,Punta il Villano,2663,2500+,Val di Susa,Alpi Cozie Nord,TO
4331004112,Serriera del Pignal,2662,2500+,Valle Stura di Demonte,Alpi Marittime,CN
9932674876,La Busa,2662,2500+,Valle non classificata,Gruppo non classificato,VC
5069323967,Monte Bassura,2660,2500+,Valle Stura di Demonte,Alpi Marittime,CN
6454082004,Pizzo di Leur,2659,2500+,Val d'Ossola,Alpi Lepontine,VB
9806655478,Punta Plenc,2659,2500+,Val Pellice,Alpi Cozie Sud,TO
26864324,Pizzo Giezza,2658,2500+,Val d'Ossola,Alpi Lepontine,VB
648758472,Il Bric,2658,2500+,Valle Maira,Alpi Cozie Sud,CN
2334534005,Monte Sises,2658,2500+,Val Chisone,Alpi Cozie Sud,TO
3792435876,Roc de Jany,2657,2500+,Valle non classificata,Gruppo non classificato,TO
3752976498,Punta Nonna,2654,2500+,Val di Susa,Alpi Cozie Nord,TO
1796366332,Testa del Ban,2652,2500+,Val di Susa,Alpi Cozie Nord,TO
2455053913,Pizzo Tignaga,2652,2500+,Valle Anzasca,Alpi Pennine,VB
26863733,Pointe Marguareis / Cima Marguarèis,2651,2500+,Valle Pesio,Alpi Marittime,CN
3991975767,Punta Loson,2650,2500+,Val Sangone,Alpi Cozie Nord,TO
10313568122,Torre Mutt,2650,2500+,Val d'Ossola,Alpi Lepontine,VB
648758947,Monte Tibert,2648,2500+,Valle Maira,Alpi Cozie Sud,CN
2100373388,Grand Charvia / Monte Gimont,2648,2500+,Valle non classificata,Gruppo non classificato,TO
4332040816,Roccio Russo,2648,2500+,Valle Varaita,Alpi Cozie Sud,TO
2402864724,Punta Roccati,2647,2500+,Valle Gesso,Alpi Marittime,CN
3952291358,Punta della Gardetta,2647,2500+,Valle Varaita,Alpi Cozie Sud,CN
5063469962,Cima d'Orgials,2647,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2150455396,Punta della Borra,2646,2500+,Valle dell'Orco,Alpi Graie,TO
4688283647,Cima Fer,2646,2500+,Valle dell'Orco,Alpi Graie,TO
5442663365,Punta della Sella,2646,2500+,Valle Stura di Demonte,Alpi Marittime,CN
9925752436,La Ciapej,2645,2500+,Valle non classificata,Gruppo non classificato,VC
1942624999,Monte Palonetto,2643,2500+,Val di Susa,Alpi Cozie Nord,TO
1945611009,Punta delle Serene,2643,2500+,Valli di Lanzo,Alpi Graie,TO
3065849878,Monte Ciaval,2642,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2246537691,Punta della Meris,2641,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2127800891,Punta Manda Ovest,2640,2500+,Valle dell'Orco,Alpi Graie,TO
10313583160,Zucco di Balma Rossa,2640,2500+,Val d'Ossola,Alpi Lepontine,VB
5295389832,Testa Cairiliera,2639,2500+,Valle Stura di Demonte,Alpi Marittime,CN
